Format Version,1.21,Take Name,Torso,Capture Frame Rate,120,Export Frame Rate,30,Capture Start Time,2017-11-27 07.38.10.810 PM,Total Frames in Take,2132,Total Exported Frames,534,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Head,Head,Head,Head,Head,Head,Head,Head,Torso,Torso,Torso,Torso,Torso,Torso,Torso,Torso,RArm,RArm,RArm,RArm,RArm,RArm,RArm,RArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm,LArm,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,LLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg,RLeg
,,A3E1BA8BD3D911E7D75CBFEB1734E382,A3E1BA8BD3D911E7D75CBFEB1734E382,A3E1BA8BD3D911E7D75CBFEB1734E382,A3E1BA8BD3D911E7D75CBFEB1734E382,A3E1BA8BD3D911E7D75CBFEB1734E382,A3E1BA8BD3D911E7D75CBFEB1734E382,A3E1BA8BD3D911E7D75CBFEB1734E382,A3E1BA8BD3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,BC875451D3D911E7D75CBFEB1734E382,C528210AD3D911E7D75CBFEB1734E382,C528210AD3D911E7D75CBFEB1734E382,C528210AD3D911E7D75CBFEB1734E382,C528210AD3D911E7D75CBFEB1734E382,C528210AD3D911E7D75CBFEB1734E382,C528210AD3D911E7D75CBFEB1734E382,C528210AD3D911E7D75CBFEB1734E382,C528210AD3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1387D3D911E7D75CBFEB1734E382,D6BE1388D3D911E7D75CBFEB1734E382,D6BE1388D3D911E7D75CBFEB1734E382,D6BE1388D3D911E7D75CBFEB1734E382,D6BE1388D3D911E7D75CBFEB1734E382,D6BE1388D3D911E7D75CBFEB1734E382,D6BE1388D3D911E7D75CBFEB1734E382,D6BE1388D3D911E7D75CBFEB1734E382,D6BE1388D3D911E7D75CBFEB1734E382,E24AA9D5D3D911E7D75CBFEB1734E382,E24AA9D5D3D911E7D75CBFEB1734E382,E24AA9D5D3D911E7D75CBFEB1734E382,E24AA9D5D3D911E7D75CBFEB1734E382,E24AA9D5D3D911E7D75CBFEB1734E382,E24AA9D5D3D911E7D75CBFEB1734E382,E24AA9D5D3D911E7D75CBFEB1734E382,E24AA9D5D3D911E7D75CBFEB1734E382
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,W,X,Y,Z,
0,0,-0.073717,-0.192451,-0.094533,-0.973957,-0.153765,1.767112,0.057786,0.000338,Empty,Empty,Empty,-0.99622,Empty,Empty,Empty,0.001799,-0.021458,0.112995,0.022504,-0.993109,-0.061848,0.872594,-0.242179,0.00076,-0.318083,0.019708,-0.478046,-0.818478,-0.203647,0.81958,0.242333,0.001264,0.006328,0.065251,-0.009645,-0.997802,-0.081299,0.054034,0.303784,0.001814,-0.006122,-0.064012,-0.006989,0.997906,0.039366,0.060186,-0.255381,0.001782
1,0.033333,-0.073482,-0.192006,-0.095267,-0.973991,-0.154761,1.766928,0.057679,0.000352,Empty,Empty,Empty,-0.996179,Empty,Empty,Empty,0.001788,-0.021931,0.113856,0.02266,-0.992997,-0.061784,0.872651,-0.242557,0.000676,-0.316684,0.019813,-0.477741,-0.819196,-0.203804,0.819377,0.241632,0.001236,0.006424,0.065125,-0.009879,-0.997808,-0.081317,0.054097,0.303786,0.001842,-0.006179,-0.064061,-0.006951,0.997903,0.039364,0.06019,-0.25538,0.001781
2,0.066667,-0.073961,-0.191348,-0.096775,-0.973935,-0.155702,1.766684,0.057498,0.000526,Empty,Empty,Empty,-0.996165,Empty,Empty,Empty,0.001797,-0.02362,0.114211,0.023163,-0.992906,-0.061899,0.872796,-0.243031,0.00067,-0.316359,0.021197,-0.478547,-0.818817,-0.203989,0.819135,0.241144,0.001175,0.006396,0.065069,-0.009934,-0.997811,-0.081322,0.054098,0.303781,0.00184,-0.006416,-0.06422,-0.006765,0.997892,0.039385,0.060153,-0.255388,0.001814
3,0.1,-0.073867,-0.191123,-0.097696,-0.973895,-0.156586,1.766499,0.057443,0.000526,Empty,Empty,Empty,-0.996163,Empty,Empty,Empty,0.001819,-0.023574,0.11404,0.022817,-0.992934,-0.062296,0.872968,-0.243403,0.000699,-0.316765,0.020197,-0.478698,-0.818596,-0.20426,0.819,0.24117,0.001215,0.005872,0.065077,-0.010183,-0.997811,-0.081312,0.054177,0.303741,0.001863,-0.00615,-0.064104,-0.006922,0.9979,0.039354,0.060185,-0.255371,0.001781
